"setor_nfr","setor_ben"
"1.A.1.a.       Produção de eletricidade e calor como atividade principal","CONSUMO FINAL NÃO-ENERGÉTICO"
"1.A.1.b.       Refino de petróleo","SETOR ENERGÉTICO"
"1.A.1.c.       Produção de combustíveis sólidos e outras indústrias de energia","OUTROS"
"1.A.2.a.       Ferro e aço","FERRO-GUSA E AÇO+FERRO-LIGAS"
"1.A.2.b.       Metais não ferrosos","NÃO-FERROSOS E OUTROS DA METALURGIA"
"1.A.2.c.       Produtos quimicos","QUÍMICA"
"1.A.2.d.       Celulose, papel e impressão","PAPEL E CELULOSE"
"1.A.2.e.       Processamento de alimentos, bebidas e tabaco","ALIMENTOS E BEBIDAS"
"1.A.2.f.       Minerais não metálicos","CIMENTO+CERÂMICA"
"1.A.2.g.       Equipamentos de transporte","OUTROS"
"1.A.2.i.       Mineração (exceto combustíveis) e extração","MINERAÇÃO E PELOTIZAÇÃO"
"1.A.2.l.       Têxtil e couro","TÊXTIL"
"1.A.3.a.ii.          Aviação doméstica","AÉREO"
"1.A.3.b.       Transporte rodoviário","RODOVIÁRIO"
"1.A.3.c.       Transporte Ferroviário","FERROVIÁRIO"
"1.A.3.d.ii.          Navegação doméstica","HIDROVIÁRIO"
"1.A.4.a.       Comercial / institucional","COMERCIAL+PÚBLICO"
"1.A.4.b.       Residencial","RESIDENCIAL"
"1.A.4.c.       Agricultura / silvicultura / pesca / piscicultura","AGROPECUÁRIO"
"1.A.5.     Não Especificado","CONSUMO NÃO-IDENTIFICADO"
"1.B.1.     Combustíveis sólidos","*"
"1.B.2.     Petróleo e Gás Natural","*"
"*emissão estimada sem usar dados BEN",""
